DP;DPNOM;DPMP;MPIO;2017;cdigo.dane
25;Cundinamarca;25200;Cogua;23214;25200000
25;Cundinamarca;25214;Cota;25945;25214000
25;Cundinamarca;25224;Cucunubá;7561;25224000
25;Cundinamarca;25245;El Colegio;2206;25245000
25;Cundinamarca;25258;El Peñón;4786;25258000
25;Cundinamarca;25260;El Rosal;18045;25260000
25;Cundinamarca;25269;Facatativá;13695;25269000
25;Cundinamarca;25281;Fosca;774;25281000
25;Cundinamarca;25286;Funza;78146;25286000
25;Cundinamarca;25288;Fúquene;5723;25288000
25;Cundinamarca;25290;Fusagasugá;139805;25290000
25;Cundinamarca;25293;Gachala;5687;25293000
25;Cundinamarca;25295;Gachancipá;15223;25295000
25;Cundinamarca;25297;Gachetá;11236;25297000
25;Cundinamarca;25299;Gama;4028;25299000
25;Cundinamarca;25307;Girardot;106283;25307000
25;Cundinamarca;25312;Granada;9059;25312000
25;Cundinamarca;25317;Guachetá;1136;25317000
25;Cundinamarca;25320;Guaduas;39748;25320000
25;Cundinamarca;25322;Guasca;15246;25322000
25;Cundinamarca;25324;Guataquí;2669;25324000
25;Cundinamarca;25326;Guatavita;6935;25326000
25;Cundinamarca;25328;Guayabal de Siquima;3651;25328000
25;Cundinamarca;25335;Guayabetal;4984;25335000
25;Cundinamarca;25339;Gutiérrez;4242;25339000
25;Cundinamarca;25368;Jerusalén;2672;25368000
25;Cundinamarca;25372;Junín;8672;25372000
25;Cundinamarca;25377;La Calera;28225;25377000
25;Cundinamarca;25386;La Mesa;323;25386000
25;Cundinamarca;25394;La Palma;10912;25394000
25;Cundinamarca;25398;La Peña;704;25398000
25;Cundinamarca;25402;La Vega;14413;25402000
25;Cundinamarca;25407;Lenguazaque;10352;25407000
25;Cundinamarca;25426;Macheta;6226;25426000
25;Cundinamarca;25430;Madrid;80622;25430000
25;Cundinamarca;25436;Manta;4754;25436000
25;Cundinamarca;25438;Medina;10162;25438000
25;Cundinamarca;25473;Mosquera;86954;25473000
25;Cundinamarca;25483;Nariño;2233;25483000
25;Cundinamarca;25486;Nemocón;13922;25486000
25;Cundinamarca;25488;Nilo;19328;25488000
25;Cundinamarca;25489;Nimaima;6947;25489000
25;Cundinamarca;25491;Nocaima;8111;25491000
25;Cundinamarca;25506;Venecia;4087;25506000
25;Cundinamarca;25513;Pacho;27584;25513000
25;Cundinamarca;25518;Paime;4339;25518000
25;Cundinamarca;25524;Pandi;5697;25524000
25;Cundinamarca;25530;Paratebueno;7782;25530000
25;Cundinamarca;25535;Pasca;12378;25535000
25;Cundinamarca;25572;Puerto Salgar;19337;25572000
25;Cundinamarca;25580;Pulí;3024;25580000
25;Cundinamarca;25592;Quebradanegra;4759;25592000
25;Cundinamarca;25594;Quetame;7241;25594000
25;Cundinamarca;25596;Quipile;815;25596000
25;Cundinamarca;25599;Apulo;7812;25599000
25;Cundinamarca;25612;Ricaurte;9711;25612000
25;Cundinamarca;25645;San Antonio del Tequendama;13209;25645000
25;Cundinamarca;25649;San Bernardo;10745;25649000
25;Cundinamarca;25653;San Cayetano;5351;25653000
25;Cundinamarca;25658;San Francisco;9872;25658000
25;Cundinamarca;25662;San Juan de Río Seco;9668;25662000
25;Cundinamarca;25718;Sasaima;10778;25718000
25;Cundinamarca;25736;Sesquilé;14912;25736000
25;Cundinamarca;25740;Sibaté;39817;25740000
