DP;DPNOM;DPMP;MPIO;2017;cdigo.dane
5;Antioquia;5001;Medellín;2508452;5001000
5;Antioquia;5002;Abejorral;19096;5002000
5;Antioquia;5004;Abriaquí;2019;5004000
5;Antioquia;5021;Alejandría;3393;5021000
5;Antioquia;5030;Amagá;2998;5030000
5;Antioquia;5031;Amalfi;22414;5031000
5;Antioquia;5034;Andes;46621;5034000
5;Antioquia;5036;Angelópolis;9216;5036000
5;Antioquia;5038;Angostura;11139;5038000
5;Antioquia;5040;Anorí;17521;5040000
5;Antioquia;5042;Santafé de Antioquia;24905;5042000
5;Antioquia;5044;Anza;7591;5044000
5;Antioquia;5045;Apartadó;189325;5045000
5;Antioquia;5051;Arboletes;42301;5051000
5;Antioquia;5055;Argelia;8426;5055000
5;Antioquia;5059;Armenia;4029;5059000
5;Antioquia;5079;Barbosa;51617;5079000
5;Antioquia;5086;Belmira;6875;5086000
5;Antioquia;5088;Bello;473423;5088000
5;Antioquia;5091;Betania;9079;5091000
5;Antioquia;5093;Betulia;17663;5093000
5;Antioquia;5101;Ciudad Bolívar;26828;5101000
5;Antioquia;5107;Briceño;8682;5107000
5;Antioquia;5113;Buriticá;6531;5113000
5;Antioquia;5120;Cáceres;39918;5120000
5;Antioquia;5125;Caicedo;833;5125000
5;Antioquia;5129;Caldas;79652;5129000
5;Antioquia;5134;Campamento;897;5134000
5;Antioquia;5138;Cañasgordas;16745;5138000
5;Antioquia;5142;Caracolí;4543;5142000
5;Antioquia;5145;Caramanta;5321;5145000
5;Antioquia;5147;Carepa;58667;5147000
5;Antioquia;5148;El Carmen de Viboral;47915;5148000
5;Antioquia;5150;Carolina;3552;5150000
5;Antioquia;5154;Caucasia;11767;5154000
5;Antioquia;5172;Chigorodó;80132;5172000
5;Antioquia;5190;Cisneros;8932;5190000
5;Antioquia;5197;Cocorná;14945;5197000
5;Antioquia;5206;Concepción;3284;5206000
5;Antioquia;5209;Concordia;20476;5209000
5;Antioquia;5212;Copacabana;71885;5212000
5;Antioquia;5234;Dabeiba;23176;5234000
5;Antioquia;5237;Don Matías;23209;5237000
5;Antioquia;5240;Ebéjico;12507;5240000
5;Antioquia;5250;El Bagre;50242;5250000
5;Antioquia;5264;Entrerrios;10248;5264000
5;Antioquia;5266;Envigado;232903;5266000
5;Antioquia;5282;Fredonia;21283;5282000
5;Antioquia;5284;Frontino;16008;5284000
5;Antioquia;5306;Giraldo;3992;5306000
5;Antioquia;5308;Girardota;56755;5308000
5;Antioquia;5310;Gómez Plata;13115;5310000
5;Antioquia;5313;Granada;9873;5313000
5;Antioquia;5315;Guadalupe;6313;5315000
5;Antioquia;5318;Guarne;49533;5318000
5;Antioquia;5321;Guatapé;5167;5321000
5;Antioquia;5347;Heliconia;5757;5347000
5;Antioquia;5353;Hispania;4879;5353000
5;Antioquia;5360;Itagui;273927;5360000
5;Antioquia;5361;Ituango;20273;5361000
5;Antioquia;5364;Jardín;13596;5364000
5;Antioquia;5368;Jericó;11939;5368000
5;Antioquia;5376;La Ceja;53993;5376000
5;Antioquia;5380;La Estrella;64315;5380000
5;Antioquia;5390;La Pintada;6452;5390000
5;Antioquia;5400;La Unión;19324;5400000
5;Antioquia;5411;Liborina;9558;5411000
5;Antioquia;5425;Maceo;6696;5425000
5;Antioquia;5440;Marinilla;55;5440000
5;Antioquia;5467;Montebello;595;5467000
5;Antioquia;5475;Murindó;4795;5475000
5;Antioquia;5480;Mutatá;21545;5480000
5;Antioquia;5483;Nariño;17686;5483000
5;Antioquia;5490;Necoclí;65663;5490000
5;Antioquia;5495;Nechí;27915;5495000
5;Antioquia;5501;Olaya;331;5501000
5;Antioquia;5541;Peñol;15802;5541000
5;Antioquia;5543;Peque;11199;5543000
5;Antioquia;5576;Pueblorrico;6793;5576000
5;Antioquia;5579;Puerto Berrío;48553;5579000
5;Antioquia;5585;Puerto Nare;19025;5585000
5;Antioquia;5591;Puerto Triunfo;20893;5591000
5;Antioquia;5604;Remedios;30613;5604000
5;Antioquia;5607;Retiro;19507;5607000
5;Antioquia;5615;Rionegro;124219;5615000
5;Antioquia;5628;Sabanalarga;8191;5628000
5;Antioquia;5631;Sabaneta;53236;5631000
5;Antioquia;5642;Salgar;17469;5642000
5;Antioquia;5647;San Andrés de Cuerquía;6024;5647000
5;Antioquia;5649;San Carlos;16111;5649000
5;Antioquia;5652;San Francisco;5119;5652000
5;Antioquia;5656;San Jerónimo;12811;5656000
5;Antioquia;5658;San José de La Montaña;3401;5658000
5;Antioquia;5659;San Juan de Urabá;26146;5659000
5;Antioquia;5660;San Luis;10929;5660000
5;Antioquia;5664;San Pedro;27513;5664000
5;Antioquia;5665;San Pedro de Uraba;31802;5665000
5;Antioquia;5667;San Rafael;12874;5667000
5;Antioquia;5670;San Roque;1652;5670000
5;Antioquia;5674;San Vicente;16733;5674000
5;Antioquia;5679;Santa Bárbara;21754;5679000
5;Antioquia;5686;Santa Rosa de Osos;36548;5686000
5;Antioquia;5690;Santo Domingo;10173;5690000
5;Antioquia;5697;El Santuario;27233;5697000
5;Antioquia;5736;Segovia;41205;5736000
5;Antioquia;5756;Sonson;34696;5756000
5;Antioquia;5761;Sopetrán;14936;5761000
5;Antioquia;5789;Támesis;14391;5789000
5;Antioquia;5790;Tarazá;45083;5790000
5;Antioquia;5792;Tarso;7955;5792000
5;Antioquia;5809;Titiribí;14602;5809000
5;Antioquia;5819;Toledo;6552;5819000
5;Antioquia;5837;Turbo;167886;5837000
5;Antioquia;5842;Uramita;8221;5842000
5;Antioquia;5847;Urrao;45896;5847000
5;Antioquia;5854;Valdivia;23333;5854000
5;Antioquia;5856;Valparaíso;6131;5856000
5;Antioquia;5858;Vegachí;9108;5858000
5;Antioquia;5861;Venecia;13208;5861000
5;Antioquia;5873;Vigía del Fuerte;5606;5873000
5;Antioquia;5885;Yalí;8486;5885000
5;Antioquia;5887;Yarumal;47995;5887000
5;Antioquia;5890;Yolombó;24809;5890000
5;Antioquia;5893;Yondó;19365;5893000
5;Antioquia;5895;Zaragoza;31503;5895000
8;Atlántico;8001;Barranquilla;1228271;8001000
8;Atlántico;8078;Baranoa;58989;8078000
8;Atlántico;8137;Campo de La Cruz;15482;8137000
8;Atlántico;8141;Candelaria;12528;8141000
8;Atlántico;8296;Galapa;45093;8296000
8;Atlántico;8372;Juan de Acosta;1726;8372000
8;Atlántico;8421;Luruaco;27576;8421000
8;Atlántico;8433;Malambo;125248;8433000
8;Atlántico;8436;Manatí;16106;8436000
8;Atlántico;8520;Palmar de Varela;2563;8520000
8;Atlántico;8549;Piojó;516;8549000
8;Atlántico;8558;Polonuevo;15539;8558000
8;Atlántico;8560;Ponedera;22911;8560000
8;Atlántico;8573;Puerto Colombia;26869;8573000
8;Atlántico;8606;Repelón;26778;8606000
8;Atlántico;8634;Sabanagrande;33007;8634000
8;Atlántico;8638;Sabanalarga;100304;8638000
8;Atlántico;8675;Santa Lucía;11395;8675000
8;Atlántico;8685;Santo Tomás;25567;8685000
8;Atlántico;8758;Soledad;649111;8758000
8;Atlántico;8770;Suan;8565;8770000
8;Atlántico;8832;Tubará;11022;8832000
8;Atlántico;8849;Usiacurí;9486;8849000
11;Bogotá D.C.;11001;Bogota D.C.;8080734;11001000
13;Bolívar;13001;Cartagena;1024882;13001000
13;Bolívar;13006;Achí;23851;13006000
13;Bolívar;13030;Altos del Rosario;14215;13030000
13;Bolívar;13042;Arenal;19743;13042000
13;Bolívar;13052;Arjona;75271;13052000
13;Bolívar;13062;Arroyohondo;10174;13062000
13;Bolívar;13074;Barranco de Loba;18426;13074000
13;Bolívar;13140;Calamar;23928;13140000
13;Bolívar;13160;Cantagallo;9556;13160000
13;Bolívar;13188;Cicuco;11137;13188000
13;Bolívar;13212;Córdoba;12342;13212000
13;Bolívar;13222;Clemencia;1275;13222000
13;Bolívar;13244;El Carmen de Bolívar;76949;13244000
13;Bolívar;13248;El Guamo;7771;13248000
13;Bolívar;13268;El Peñón;99;13268000
13;Bolívar;13300;Hatillo de Loba;12121;13300000
13;Bolívar;13430;Magangué;123906;13430000
13;Bolívar;13433;Mahates;26461;13433000
13;Bolívar;13440;Margarita;10059;13440000
13;Bolívar;13442;María La Baja;48787;13442000
13;Bolívar;13458;Montecristo;22254;13458000
13;Bolívar;13468;Mompós;44784;13468000
13;Bolívar;13473;Morales;21828;13473000
13;Bolívar;13490;Norosí (1);5148;13490000
13;Bolívar;13549;Pinillos;25448;13549000
13;Bolívar;13580;Regidor;10887;13580000
13;Bolívar;13600;Río Viejo (1)(3);1867;13600000
13;Bolívar;13620;San Cristóbal;6711;13620000
13;Bolívar;13647;San Estanislao;16473;13647000
13;Bolívar;13650;San Fernando;13944;13650000
13;Bolívar;13654;San Jacinto;21602;13654000
